memory_id,suspicious,president,receptionist,groomer,janitor,customer,night_groomer,night_janitor,night_warden
,false,P_about_W,R_while_knitting,G_while_yawning,J_tells_he_is_vegan,C_says_P_is_stressed,DG_explains_why_he_is_here,DJ_explains_he_finishes_work,NW_asks_if_you_are_Dupont
,true,,,,,,DG_explains_why_he_is_here,DJ_ending,NW_stammers_and_fumble_to_give_an_excude
identity,false,P_talks_about_I_disappearance,R_talks_about_I_disappearance,G_talks_about_I_disappearance,J_asks_what_you_are_investigating,C_dismisses_you_while_talking_french,DG_says_he_knows,DJ_says_he_knows_you,NW_says_he_was_waiting_for_you
mission,false,P_talks_about_I,R_talks_about_I,G_talks_about_I,J_talks_about_I,C_talks_about_I_but_dismisses_you_in_french,DG_says_nothing_more,DJ_says_nothing_more,NW_says_he_saw_him_last_night
night,false,P_tells_you_to_come_back_tonight,R_talks_to_you_about_the_Kennel,G_talks_about_Kennel,J_talks_about_the_Kennel,C_talks_about_the_Kennel,DG_tells_you_no_dog_in_Kennel,DJ_tells_no_dog_in_Kennel,NW_says_Kennel_is_easy_to_take_care_of
intern,false,P_tells_what_he_thinks_of_I,R_reveals_I_fucks_P_wife,G_tells_his_opinion_of_I,J_reveals_I_fucks_P_wife,C_tells_how_loveable_I_is,DG_tells_you_to_come_back_tomorrow_to_ask_further_questions,DJ_says_to_come_back_tomorrow_to_ask_further_questions,NW_tells_what_he_thinks_of_I
kennel,false,P_tells_you_about_Kenell_services,R_gossips_about_dispute_btw_G_and_I,G_says_he_knew,J_says_he_didnt_know,C_tells_you_about_a_date_yesterday,DG_says_he_wasn’t_here_last_night,DJ_says_he_wasn’t_here_last_night,NW_says_nothing
cut,false,P_dismiss_G_cutting_too_much_problem,R_wonders_why_you_talk_about_g_cutting,G_denies_claim_he_cuts_too_much,J_wonders_why_you_talk_about_G_cutting_too_much,C_reminds_you_she_told_you_about_it,DG_admits_fur_trafficking,DJ_says_he_has_nothing_to_say_about_G_cutting,NW_says_he_is_not_concerned_by_G_cutting_too_much
stress,false,P_worries_about_D,R_says_D_stayed_in_Kennel_and_C_only_regular_client,G_says_D_stayed_in_Kennel_and_C_only_regular_client,J_worries_about_D,C_worries_about_her_D_and_talks_in_french_or_says_D_hates_I,DG_worries_about_D,DJ_worries_about_D,NW_says_he_is_not_concerned_by_G_cutting_too_much
tired,false,P_says_G_is_usually_tired,R_says_G_is_creepier_when_tired,G_says_he_stayed_late_exceptionaly,J_doesnt_give_a_hoot,C_dismisses_G_being_tired_and_talks_in_french_or_says_G_trims_D_too_much,DG_says_he_will_soon_return_home_to_sleep,DJ_says_he_is_quite_tired_now_and_is_about_to_go_home,NW_tells_G_doesnt_appear_to_be_tired_to_her
knitting,false,P_allowed_R_to_knit_when_business_is_calm,G_gave_wool_to_her,G_find_R_beautiful_when_knitting,J_was_given_a_scarf_as_birthday_present_from_R,C_likes_R_productions_and_talks_french_or_R_knitting_wool_matches_D_fur,DG_finds_R_beautiful_when_knitting,DJ_never_wears_the_scarf_R_gave_him,NW_didnt_know_R_knitted
vegan,false,P_wishes_he_could_go_vegan_too_but_loves_his_wife_too_much,R_thinks_she_saw_J_and_NW_eat_a_hotdog_together,G_suspected_J_was_vegan,J_responds_he_naturally_knows_that,C_finds_J_being_vegan_attractive,DG_thinks_J_is_vegan_to_be_interesting,DJ_doesnt_remember_telling_you_he_is_vegan,NW_didnt_know_J_was_vegan
dog_hair,false,P_thinks_G_crushes_on_R,R_is_creeped_by_G_but_accepted_the_sublim_wool,G_admits_he_likes_R,J_says_G_shouldnt_waste_money_on_R,C_talks_in_french_about_G_giving_R_fur_or_Fur_traffic_suspicion,DG_admits_he_likes_R,DJ_says_G_has_no_chance_with_R,NW_says_G_is_creepy_but_can_be_nice
traffic,false,P_says_nothing_unusual_during_day,R_says_nothing_strange_during_day,G_admits_to_sell_fur,J_says_nothing_suspicious_during_day,C_is_horrified_about_this_assumption,I_discovered_the_activity_and_was_scared_off_by_DG_and_accomplices,DJ_says_he_is_rarely_here_by_night,NW_says_he_knows_nothing_about_it
traffic,true,,,,,,,I_discovered_the_activity_and_was_scared_off_by_DJ_and_accomplices,I_discovered_the_activity_and_was_scared_off_by_NW_and_accomplices
affair,false,P_about_I_fucks,R_about_I_fucks,G_about_I_fucks,J_about_I_fucks,C_about_I_fucks,DG_about_I_fucks,DJ_about_I_fucks,NW_about_I_fucks
